,TrainLoss,ValLoss
0,[4510273.5],[6116532.5]
1,[4760098.5],[5432495.]
2,[4692773.],[5890992.5]
3,[4691910.],[5940493.5]
4,[4628332.5],[5952594.5]
5,[4685922.],[5199645.]
6,[4681004.],[5978871.]
7,[4761067.5],[6220364.]
8,[4756734.],[5611543.]
9,[4831606.],[5653039.]
10,[4839649.],[5665516.5]
11,[5018277.5],[5937435.]
12,[4897499.5],[5847919.]
13,[4924327.],[6293066.]
14,[5010550.],[6087815.5]
15,[4964964.5],[6395638.5]
16,[4975132.5],[5631151.5]
17,[4977810.5],[6308173.]
18,[5096812.5],[5144020.5]
19,[5078739.],[6296243.]
20,[5108426.],[5758769.]
21,[5098485.],[6279998.]
22,[5167498.],[5795264.5]
23,[5339561.],[6607333.]
24,[5207720.],[6029421.]
25,[5247426.],[5726501.5]
26,[5255044.],[6988323.5]
27,[5366573.],[6250525.5]
28,[5341286.],[6369741.]
29,[5475370.],[6189938.5]
30,[5275439.],[6195740.]
31,[5370308.],[6210418.]
32,[5177157.],[6660049.5]
33,[5192012.5],[6837121.5]
34,[5288794.],[6321975.5]
35,[5295053.5],[6818413.5]
36,[5300171.],[6589718.5]
37,[5290059.],[6736140.5]
38,[5402652.],[6242189.5]
39,[5409013.],[6822016.]
40,[5334154.],[6166527.5]
41,[5441815.],[6433578.]
42,[5480649.],[5795813.5]
43,[5437812.5],[6613591.]
44,[5541101.5],[5904286.5]
45,[5546384.5],[6384825.5]
46,[5589022.],[6656750.]
47,[5468932.],[6025863.]
48,[5336938.],[6541858.5]
49,[5495817.5],[6214969.5]
50,[5382453.5],[6379887.]
51,[5357168.],[6332521.5]
52,[5400364.],[6172194.]
53,[5487867.],[6889876.5]
54,[5353496.],[6274297.5]
55,[5412119.5],[6107796.]
56,[5309081.],[6685559.5]
57,[5433743.5],[6491578.5]
58,[5461222.],[6985966.]
59,[5511531.],[6014378.]
60,[5491828.],[6672736.]
61,[5488575.5],[6108082.5]
62,[5608882.5],[6930989.5]
63,[5482608.],[6939004.]
64,[5616456.5],[6701444.]
65,[5555580.],[6999657.]
66,[5412690.],[6262229.5]
67,[5730145.],[6553642.]
68,[5692686.5],[6862475.5]
69,[5808174.5],[7090431.]
70,[5777143.],[7216885.5]
71,[5792953.5],[7117395.]
72,[5820188.],[7589316.]
73,[5810923.5],[6906641.]
74,[5923197.],[7136367.]
75,[5929292.],[7885531.5]
76,[5753097.5],[7744628.]
77,[5782261.],[7070567.5]
78,[5779439.5],[7187430.]
79,[5762222.],[6589416.5]
80,[5547133.],[6387716.]
81,[5733463.],[6238150.5]
82,[5635119.],[6014830.]
83,[5682776.],[7115304.]
84,[5511887.],[6346392.5]
85,[5674812.5],[7478388.5]
86,[5584682.],[7283452.]
87,[5683864.],[7257853.]
88,[5787748.],[6845821.]
89,[5711294.],[6952016.]
90,[5691719.5],[6762860.5]
91,[5674400.5],[6784533.]
92,[5643878.5],[6979203.5]
93,[5592380.5],[6802298.5]
94,[5759662.],[6467059.]
95,[5556961.5],[6769316.5]
96,[5596166.5],[5996756.]
97,[5562135.5],[6261794.]
98,[5575272.5],[6346718.5]
99,[5542011.5],[6512539.5]
100,[5432758.],[6513626.]
101,[5676078.5],[6702068.5]
102,[5433094.5],[6699536.]
103,[5500007.],[6226517.5]
104,[5556693.5],[6301026.]
105,[5532494.5],[6552174.]
106,[5715821.],[6907974.]
107,[5610703.],[6572824.5]
108,[5810084.5],[6743653.5]
